option	groups	1A	1B	1D	1E	1G	1I	1K	1L
1	ABCDEFGH	3H	3G	3B	3C	3A	3F	3D	3E
2	ABCDEFGI	3C	3G	3B	3D	3A	3F	3E	3I
3	ABCDEFGJ	3C	3G	3B	3D	3A	3F	3E	3J
4	ABCDEFGK	3C	3G	3B	3D	3A	3F	3E	3K
5	ABCDEFGL	3C	3G	3B	3D	3A	3F	3L	3E
6	ABCDEFHI	3H	3E	3B	3C	3A	3F	3D	3I
7	ABCDEFHJ	3H	3J	3B	3C	3A	3F	3D	3E
8	ABCDEFHK	3H	3E	3B	3C	3A	3F	3D	3K
9	ABCDEFHL	3H	3F	3B	3C	3A	3D	3L	3E
10	ABCDEFIJ	3C	3J	3B	3D	3A	3F	3E	3I
11	ABCDEFIK	3C	3E	3B	3D	3A	3F	3I	3K
12	ABCDEFIL	3C	3E	3B	3D	3A	3F	3L	3I
13	ABCDEFJK	3C	3J	3B	3D	3A	3F	3E	3K
14	ABCDEFJL	3C	3J	3B	3D	3A	3F	3L	3E
15	ABCDEFKL	3C	3E	3B	3D	3A	3F	3L	3K
16	ABCDEGHI	3H	3G	3B	3C	3A	3D	3E	3I
17	ABCDEGHJ	3H	3G	3B	3C	3A	3D	3E	3J
18	ABCDEGHK	3H	3G	3B	3C	3A	3D	3E	3K
19	ABCDEGHL	3H	3G	3B	3C	3A	3D	3L	3E
20	ABCDEGIJ	3E	3G	3B	3C	3A	3D	3I	3J
21	ABCDEGIK	3E	3G	3B	3C	3A	3D	3I	3K
22	ABCDEGIL	3E	3G	3B	3C	3A	3D	3L	3I
23	ABCDEGJK	3E	3G	3B	3C	3A	3D	3J	3K
24	ABCDEGJL	3E	3G	3B	3C	3A	3D	3L	3J
25	ABCDEGKL	3E	3G	3B	3C	3A	3D	3L	3K
26	ABCDEHIJ	3H	3J	3B	3C	3A	3D	3E	3I
27	ABCDEHIK	3H	3E	3B	3C	3A	3D	3I	3K
28	ABCDEHIL	3H	3E	3B	3C	3A	3D	3L	3I
29	ABCDEHJK	3H	3J	3B	3C	3A	3D	3E	3K
30	ABCDEHJL	3H	3J	3B	3C	3A	3D	3L	3E
31	ABCDEHKL	3H	3E	3B	3C	3A	3D	3L	3K
32	ABCDEIJK	3E	3J	3B	3C	3A	3D	3I	3K
33	ABCDEIJL	3E	3J	3B	3C	3A	3D	3L	3I
34	ABCDEIKL	3E	3I	3B	3C	3A	3D	3L	3K
35	ABCDEJKL	3E	3J	3B	3C	3A	3D	3L	3K
36	ABCDFGHI	3H	3G	3B	3C	3A	3F	3D	3I
37	ABCDFGHJ	3H	3G	3B	3C	3A	3F	3D	3J
38	ABCDFGHK	3H	3G	3B	3C	3A	3F	3D	3K
39	ABCDFGHL	3C	3G	3B	3D	3A	3F	3L	3H
40	ABCDFGIJ	3C	3G	3B	3D	3A	3F	3I	3J
41	ABCDFGIK	3C	3G	3B	3D	3A	3F	3I	3K
42	ABCDFGIL	3C	3G	3B	3D	3A	3F	3L	3I
43	ABCDFGJK	3C	3G	3B	3D	3A	3F	3J	3K
44	ABCDFGJL	3C	3G	3B	3D	3A	3F	3L	3J
45	ABCDFGKL	3C	3G	3B	3D	3A	3F	3L	3K
46	ABCDFHIJ	3H	3J	3B	3C	3A	3F	3D	3I
47	ABCDFHIK	3H	3F	3B	3C	3A	3D	3I	3K
48	ABCDFHIL	3H	3F	3B	3C	3A	3D	3L	3I
49	ABCDFHJK	3H	3J	3B	3C	3A	3F	3D	3K
50	ABCDFHJL	3C	3J	3B	3D	3A	3F	3L	3H
51	ABCDFHKL	3H	3F	3B	3C	3A	3D	3L	3K
52	ABCDFIJK	3C	3J	3B	3D	3A	3F	3I	3K
53	ABCDFIJL	3C	3J	3B	3D	3A	3F	3L	3I
54	ABCDFIKL	3C	3I	3B	3D	3A	3F	3L	3K
55	ABCDFJKL	3C	3J	3B	3D	3A	3F	3L	3K
56	ABCDGHIJ	3H	3G	3B	3C	3A	3D	3I	3J
57	ABCDGHIK	3H	3G	3B	3C	3A	3D	3I	3K
58	ABCDGHIL	3H	3G	3B	3C	3A	3D	3L	3I
59	ABCDGHJK	3H	3G	3B	3C	3A	3D	3J	3K
60	ABCDGHJL	3H	3G	3B	3C	3A	3D	3L	3J
61	ABCDGHKL	3H	3G	3B	3C	3A	3D	3L	3K
62	ABCDGIJK	3C	3J	3B	3D	3A	3G	3I	3K
63	ABCDGIJL	3C	3J	3B	3D	3A	3G	3L	3I
64	ABCDGIKL	3I	3G	3B	3C	3A	3D	3L	3K
65	ABCDGJKL	3C	3J	3B	3D	3A	3G	3L	3K
66	ABCDHIJK	3H	3J	3B	3C	3A	3D	3I	3K
67	ABCDHIJL	3H	3J	3B	3C	3A	3D	3L	3I
68	ABCDHIKL	3H	3I	3B	3C	3A	3D	3L	3K
69	ABCDHJKL	3H	3J	3B	3C	3A	3D	3L	3K
70	ABCDIJKL	3I	3J	3B	3C	3A	3D	3L	3K
71	ABCEFGHI	3H	3G	3B	3C	3A	3F	3E	3I
72	ABCEFGHJ	3H	3G	3B	3C	3A	3F	3E	3J
73	ABCEFGHK	3H	3G	3B	3C	3A	3F	3E	3K
74	ABCEFGHL	3H	3G	3B	3C	3A	3F	3L	3E
75	ABCEFGIJ	3E	3G	3B	3C	3A	3F	3I	3J
76	ABCEFGIK	3E	3G	3B	3C	3A	3F	3I	3K
77	ABCEFGIL	3E	3G	3B	3C	3A	3F	3L	3I
78	ABCEFGJK	3E	3G	3B	3C	3A	3F	3J	3K
79	ABCEFGJL	3E	3G	3B	3C	3A	3F	3L	3J
80	ABCEFGKL	3E	3G	3B	3C	3A	3F	3L	3K
81	ABCEFHIJ	3H	3J	3B	3C	3A	3F	3E	3I
82	ABCEFHIK	3H	3E	3B	3C	3A	3F	3I	3K
83	ABCEFHIL	3H	3E	3B	3C	3A	3F	3L	3I
84	ABCEFHJK	3H	3J	3B	3C	3A	3F	3E	3K
85	ABCEFHJL	3H	3J	3B	3C	3A	3F	3L	3E
86	ABCEFHKL	3H	3E	3B	3C	3A	3F	3L	3K
87	ABCEFIJK	3E	3J	3B	3C	3A	3F	3I	3K
88	ABCEFIJL	3E	3J	3B	3C	3A	3F	3L	3I
89	ABCEFIKL	3E	3I	3B	3C	3A	3F	3L	3K
90	ABCEFJKL	3E	3J	3B	3C	3A	3F	3L	3K
91	ABCEGHIJ	3H	3J	3B	3C	3A	3G	3E	3I
92	ABCEGHIK	3E	3G	3B	3C	3A	3H	3I	3K
93	ABCEGHIL	3E	3G	3B	3C	3A	3H	3L	3I
94	ABCEGHJK	3H	3J	3B	3C	3A	3G	3E	3K
95	ABCEGHJL	3H	3J	3B	3C	3A	3G	3L	3E
96	ABCEGHKL	3E	3G	3B	3C	3A	3H	3L	3K
